trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
85, οεωνιον αλεξανδρε ουδις δεξιοις,0.7577190874172554,104.7,250.0,1000.0,0.1,0.0,5.0,10.0,0.001,100.0,,,,,,,,,,,
86, θελωσιν αλεξανδρε ουδις χωριω,0.7380039221421145,23.08,100.0,1000.0,0.9,0.05,1.0,50.0,0.001,20.0,,,,,,,,,,,
87, πεπαυμε αλεξανδρε ουδις παν,0.9251792201607236,104.3,1000.0,250.0,0.9,0.0,0.0,10.0,0.01,100.0,,,,,,,,,,,
88, επταμηνου αλεξανδρε ουδις αθανα,0.8392916409824647,54.9,500.0,500.0,0.1,0.05,1.0,10.0,0.001,50.0,,,,,,,,,,,
89, επι αλεξανδρε ουδις και,0.7057376383660392,52.8,10.0,100.0,1000.0,0.6,0.05,5.0,0.01,50.0,,,,,,,,,,,
91, ουδις αλεξανδρε ουδις ουδις,0.9830881375020472,105.7,10.0,1000.0,250.0,0.1,0.01,5.0,0.001,100.0,,,,,,,,,,,
92, ουδις αλεξανδρε ουδις ουδις,0.8917395111136261,26.066666666666663,15.0,500.0,500.0,0.1,0.01,1.0,0.01,20.0,,,,,,,,,,,
93, ετει αλεξανδρε ουδις κα,0.6681790142452352,53.3,10.0,50.0,1000.0,0.9,0.1,1.0,0.01,50.0,,,,,,,,,,,
94, ινδικτιωνος αλεξανδρε ουδις του,0.9088885304245083,104.26666666666668,15.0,500.0,250.0,0.3,0.05,1.0,0.001,100.0,,,,,,,,,,,
95, ουδις αλεξανδρε ουδις ουδις,0.9361612698331968,51.12,25.0,1000.0,250.0,0.6,0.1,10.0,0.1,50.0,,,,,,,,,,,
96, ου αλεξανδρε ουδις επι,0.803850102433582,101.0,10.0,250.0,1000.0,0.6,0.01,2.0,0.1,100.0,,,,,,,,,,,
